year,Week,Day,Date,,,OT,,Opp,Score Tm,Score Opp,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds,Passing Y/A,Passing NY/A,Passing Cmp%,Passing Rate,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Scoring FGM,Scoring FGA,Scoring XPM,Scoring XPA,Punting Pnt,Punting Yds,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,ToP
1993,12,Sun,November 21,boxscore,L,,@,Atlanta Falcons,14,27,24,32,315,3,0,0,0,9.8,9.8,75.0,136.8,34,85,2.5,0,2,2,3,3,2,170,9,14,0,0,36:38
1993,13,Thu,November 25,boxscore,L,,,Miami Dolphins,14,16,24,41,274,0,2,2,13,7.0,6.4,58.5,58.4,20,108,5.4,1,3,5,1,1,3,31,6,17,1,1,25:21
1993,14,Mon,December 6,boxscore,W,,,Philadelphia Eagles,23,17,27,45,248,2,1,0,0,5.5,5.5,60.0,80.6,18,59,3.3,0,1,2,2,2,6,136,4,13,2,2,29:52
1993,15,Sun,December 12,boxscore,W,,@,Minnesota Vikings,37,20,20,25,173,1,1,3,5,7.1,6.2,80.0,92.2,24,97,4.0,1,2,2,2,2,3,36,2,7,0,0,27:40
1993,16,Sat,December 18,boxscore,W,,@,New York Jets,28,7,24,46,214,0,1,2,20,5.1,4.5,52.2,55.9,27,81,3.0,1,0,0,1,1,6,134,6,17,1,3,29:46
1993,17,Sun,December 26,boxscore,W,,,Washington Redskins,38,3,15,33,72,0,2,4,30,3.1,1.9,45.5,27.2,28,126,4.5,0,1,1,0,0,7,216,7,18,0,1,29:38
1993,18,Sun,January 2,boxscore,W,OT,@,New York Giants,16,13,16,25,183,0,0,4,24,8.3,6.3,64.0,85.9,35,130,3.7,1,2,2,1,1,6,128,8,16,0,0,32:09
1993,20,Sun,January 16,boxscore,W,,,Green Bay Packers,27,17,28,45,327,2,2,2,4,7.4,7.0,62.2,80.5,13,31,2.4,0,1,2,2,2,3,35,6,14,1,3,25:28
1993,21,Sun,January 23,boxscore,W,,,San Francisco 49ers,38,21,27,45,275,1,1,4,12,6.4,5.6,60.0,75.7,21,84,4.0,2,0,0,3,3,4,73,5,15,1,2,26:27
1993,21,Sun,January 30,boxscore,W,,N,Buffalo Bills,30,13,31,50,227,0,1,3,33,5.2,4.3,62.0,64.3,27,87,3.2,1,2,2,1,1,5,95,5,17,2,3,25:31
1994,1,Sun,September 4,boxscore,W,,@,Pittsburgh Steelers,26,9,13,26,71,0,0,9,56,4.9,2.0,50.0,56.2,17,55,3.2,1,1,1,0,0,5,85,5,14,1,2,24:05
1994,2,Sun,September 11,boxscore,W,,,Houston Oilers,20,17,20,42,202,0,2,5,40,5.8,4.3,47.6,42.0,28,137,4.9,2,1,1,2,2,6,156,9,19,2,2,30:08
1994,3,Mon,September 19,boxscore,L,OT,,Detroit Lions,17,20,13,27,173,2,0,1,1,6.4,6.2,48.1,93.6,47,206,4.4,0,2,5,2,2,4,63,7,16,1,1,37:46
1994,5,Sun,October 2,boxscore,W,,@,Washington Redskins,34,7,11,30,82,1,1,2,14,3.2,2.6,36.7,42.4,18,28,1.6,0,0,0,1,1,6,161,3,10,0,0,19:59
1994,6,Sun,October 9,boxscore,W,,,Arizona Cardinals,38,3,16,35,168,0,5,1,1,4.8,4.7,45.7,20.6,18,53,2.9,0,1,1,0,0,5,102,2,12,0,1,24:45
1994,7,Sun,October 16,boxscore,W,,,Philadelphia Eagles,24,13,17,34,170,1,4,4,28,5.8,4.5,50.0,34.8,24,124,5.2,1,0,0,1,1,5,129,7,14,0,0,28:00
1994,8,Sun,October 23,boxscore,W,,@,Arizona Cardinals,28,21,18,31,208,1,0,1,5,6.9,6.5,58.1,89.2,37,107,2.9,2,0,0,3,3,7,222,9,18,0,1,37:09
1994,9,Sun,October 30,boxscore,W,,@,Cincinnati Bengals,23,20,14,32,243,2,0,1,4,7.7,7.4,43.8,91.0,23,77,3.3,0,2,2,2,2,6,152,6,14,0,0,25:05
1994,10,Mon,November 7,boxscore,W,,,New York Giants,38,10,13,31,133,1,1,4,21,5.0,3.8,41.9,52.2,22,55,2.5,0,1,1,1,1,6,173,5,13,0,1,23:40
1994,11,Sun,November 13,boxscore,L,,@,San Francisco 49ers,14,21,12,21,161,2,0,3,22,8.7,6.7,57.1,113.4,32,147,4.6,1,0,0,3,3,8,270,2,10,0,0,28:03
1994,12,Sun,November 20,boxscore,W,,,Washington Redskins,31,7,22,51,229,1,4,2,14,4.8,4.3,43.1,30.6,27,84,3.1,0,0,1,1,1,5,126,7,18,0,3,29:25
1994,13,Thu,November 24,boxscore,W,,,Green Bay Packers,42,31,27,40,248,4,0,2,9,6.4,5.9,67.5,117.5,18,29,1.6,0,1,1,4,4,6,164,6,15,1,2,27:54
1994,14,Sun,December 4,boxscore,W,,@,Philadelphia Eagles,31,19,29,46,285,2,1,5,42,7.1,5.6,63.0,85.9,26,108,4.2,0,2,2,1,1,5,92,7,16,0,1,33:35
1994,15,Sat,December 10,boxscore,L,,,Cleveland Browns,14,19,15,25,110,1,1,1,8,4.7,4.2,60.0,67.1,38,134,3.5,0,4,4,1,1,3,32,7,15,1,1,32:36
1994,16,Mon,December 19,boxscore,W,,@,New Orleans Saints,24,16,18,32,147,0,3,2,15,5.1,4.3,56.3,29.0,25,90,3.6,1,3,4,1,1,1,48,4,12,2,2,26:51
1994,17,Sat,December 24,boxscore,L,,@,New York Giants,10,15,11,19,122,1,0,4,19,7.4,5.3,57.9,94.6,37,127,3.4,0,2,2,1,1,6,155,5,13,0,0,32:35
1994,19,Sun,January 8,boxscore,W,,,Green Bay Packers,35,9,21,46,228,0,1,1,8,5.1,4.9,45.7,51.7,23,99,4.3,1,1,2,0,0,4,70,,,,,
1994,20,Sun,January 15,boxscore,L,,@,San Francisco 49ers,28,38,13,29,155,2,0,0,0,5.3,5.3,44.8,84.7,31,139,4.5,2,1,1,5,5,5,89,,,,,
1995,1,Mon,September 4,boxscore,W,,@,New York Giants,35,0,20,34,146,0,1,2,9,4.6,4.1,58.8,56.7,20,65,3.3,0,0,1,0,0,5,110,5,13,0,2,29:34
