year,Week,Day,Date,,,OT,,Opp,Score Tm,Score Opp,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds,Passing Y/A,Passing NY/A,Passing Cmp%,Passing Rate,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Scoring FGM,Scoring FGA,Scoring XPM,Scoring XPA,Punting Pnt,Punting Yds,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,ToP
1999,10,Sun,November 14,boxscore,W,,,Green Bay Packers,27,13,13,23,190,2,0,2,9,8.7,7.6,56.5,112.6,34,149,4.4,0,2,3,3,3,4,180,3,11,0,0,30:34
1999,11,Sun,November 21,boxscore,L,,@,Arizona Cardinals,9,13,16,29,102,1,0,2,9,3.8,3.3,55.2,74.2,34,156,4.6,0,0,1,1,1,6,276,4,15,1,4,33:03
1999,12,Thu,November 25,boxscore,W,,,Miami Dolphins,20,0,16,29,223,1,0,1,9,8.0,7.4,55.2,91.6,34,101,3.0,0,2,2,2,2,6,258,3,14,0,2,34:39
1999,13,Sun,December 5,boxscore,L,,@,New England Patriots,6,13,20,30,140,0,0,3,20,5.3,4.2,66.7,77.1,23,63,2.7,0,2,3,0,0,4,176,4,13,0,2,30:31
1999,14,Sun,December 12,boxscore,W,,,Philadelphia Eagles,20,10,22,40,225,1,0,1,17,6.1,5.5,55.0,79.7,31,112,3.6,1,2,4,2,2,6,240,3,14,1,1,34:05
1999,15,Sun,December 19,boxscore,L,,,New York Jets,21,22,12,28,152,1,2,1,6,5.6,5.2,42.9,42.6,31,195,6.3,2,0,0,3,3,7,280,3,12,1,2,29:19
1999,16,Fri,December 24,boxscore,L,,@,New Orleans Saints,24,31,23,39,246,2,2,0,0,6.3,6.3,59.0,73.2,26,122,4.7,1,1,1,3,3,5,215,8,14,0,0,30:27
1999,17,Sun,January 2,boxscore,W,,,New York Giants,26,18,23,33,288,2,0,0,0,8.7,8.7,69.7,116.7,29,149,5.1,0,4,4,2,2,2,84,4,10,0,0,29:58
1999,18,Sun,January 9,boxscore,L,,@,Minnesota Vikings,10,27,22,38,278,0,1,1,8,7.5,7.1,57.9,69.8,16,111,6.9,1,1,2,1,1,4,74,4,11,0,0,24:03
2000,1,Sun,September 3,boxscore,L,,,Philadelphia Eagles,14,41,13,31,100,1,2,5,35,4.4,2.8,41.9,34.3,13,67,5.2,0,2,2,0,0,7,315,4,13,0,0,20:30
2000,2,Sun,September 10,boxscore,L,,@,Arizona Cardinals,31,32,24,34,240,3,0,1,3,7.1,6.9,70.6,119.7,22,90,4.1,0,1,1,4,4,2,114,5,12,3,4,28:40
2000,3,Mon,September 18,boxscore,W,,@,Washington Redskins,27,21,10,23,179,2,1,1,6,8.0,7.5,43.5,81.6,31,153,4.9,1,2,2,3,3,5,230,3,12,1,1,24:54
2000,4,Sun,September 24,boxscore,L,,,San Francisco 49ers,24,41,18,31,222,2,1,3,28,8.1,6.5,58.1,88.4,14,76,5.4,1,1,1,3,3,3,135,4,10,1,1,22:47
2000,5,Sun,October 1,boxscore,W,OT,@,Carolina Panthers,16,13,15,23,118,0,2,2,13,5.7,4.7,65.2,41.6,38,173,4.6,1,2,3,0,0,4,176,7,14,0,1,36:03
