STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900414 02:00,10.16, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900414 03:00,22.86, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900414 04:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900414 05:00,20.32, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900414 06:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900419 02:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900419 04:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900419 08:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900419 15:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900420 11:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900420 12:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900420 13:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900420 14:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900420 17:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900426 02:00,20.32, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900426 03:00,10.16, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900426 04:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900426 05:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900426 07:00,10.16, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900426 08:00,7.62, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900426 09:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900426 10:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900426 12:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900501 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900501 20:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900501 21:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900501 22:00,10.16, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900501 23:00,20.32, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900502 00:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900502 03:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900502 08:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900502 09:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900502 13:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900502 20:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900502 21:00,40.64, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900502 22:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900502 23:00,17.78, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900503 01:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900503 02:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900503 03:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900511 07:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900511 08:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900511 21:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900511 22:00,10.16, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900516 07:00,2.54, , 
